,Sentence,Technique
2291,hang him from the rafters,Loaded_Language
2292,horrific examples,Loaded_Language
2294,deadly school massacres,Loaded_Language
2295,School Violence,Loaded_Language
2296,violence,Loaded_Language
2297,bullying,Loaded_Language
2298,craziness,Loaded_Language
2299,swamped,Loaded_Language
2300,revolution,Loaded_Language
2307,exploded,Hyperbole
2308,couldn't be happier,Hyperbole
2309,our communities,Jingoism
2312,our leaders,Jingoism
2317,blatantly anti-Trump,Loaded_Language
2319,criminally reckless,Loaded_Language
2320,extremely careless,Loaded_Language
2322,salacious,Loaded_Language
2323,emerged in a disappointingly watered-down form,Doubt
2324,grossly negligent,Loaded_Language
2326,willful intent to commit an act she knew was wrongful,Doubt
2327,sharply critical of Mr. Trump,Hyperbole
2328,as disappointing as the rigged outcome of the e-mail investigation,Loaded_Language
2329,infamous,Loaded_Language
2330,disappointingly,Loaded_Language
2331,give Hillary Clinton a Get Out of Jail Free card,Loaded_Language
2333,treat Hillary Clinton with kid gloves,Loaded_Language
2335,inexplicably concluded,Doubt
2336,INSANE,Loaded_Language
2338,the American people,Jingoism
2339,How in the world can we trust them,Doubt
2340,unpersuasive,Loaded_Language
2341,illogical,Loaded_Language
2342,extremely careless,Loaded_Language
2343,mishandled,Loaded_Language
2344,terrible,Loaded_Language
2345,immoral,Loaded_Language
2346,damn,Loaded_Language
2347,disturbing,Loaded_Language
2348,damaging,Loaded_Language
2349,"Peter Strzok, a key investigator on both the Clinton email case and the investigation of Russia and the Trump campaign, assured an FBI lawyer in August 2016 that “we’ll stop” Trump from making it to the White House",Doubt
2350,disparaging,Loaded_Language
2351,FIVE,Loaded_Language
2352,DURING,Loaded_Language
2353,damned,Loaded_Language
2354,disgraced,Loaded_Language
2355,we did not have confidence that Strzok’s decision to prioritize the Russia investigation over following up on the Midyear-related investigative lead discovered on the Weiner laptop was free from bias,Doubt
2356,"“unpersuasive,” “illogical,” and inconsistent",Doubt
2357,grossly negligent,Loaded_Language
2358,mess,Loaded_Language
2360,even worse,Loaded_Language
2361,so ferocious,Loaded_Language
2362,a terrifying judgment,Loaded_Language
2363,massive,Loaded_Language
2364,sex slaves,Loaded_Language
2365,preposterously,Loaded_Language
2366,legerdemain,Loaded_Language
2367,hypocrites,Loaded_Language
2368,violence,Loaded_Language
2369,"naïve, inaccurate, misleadingly sunny view",Loaded_Language
2370,misleadingly sunny view,Loaded_Language
2371,the duty to kill infidels,Loaded_Language
2372,incitement and hatred,Loaded_Language
2373,That sounds wonderful,Loaded_Language
2374,"God’s inexhaustible mercy, indeed",Loaded_Language
2375,peaceful fantasy,Loaded_Language
2376,blow up the White House and conquer Rome and Spain,Loaded_Language
2377,head-in-the-sand posture toward Qur’an-based Islamic jihad violence,Loaded_Language
2386,the best possible face on the Qur’an,Hyperbole
2387,worst of sins,Hyperbole
2388,unlimited warfare against non-Muslims,Hyperbole
2389,inexhaustible mercy and forgiveness,Hyperbole
2390,one massive question,Hyperbole
2391,so very many Muslims worldwide,Hyperbole
2393,"God’s inexhaustible mercy, indeed",Doubt
2394,How would Garry Wills explain all that? He can’t,Doubt
2395,Wills is no more trustworthy when he deals with the question of violence in the Qur’an,Doubt
2396,"Wills doesn’t mention the existence of such interpretations, even to dismiss them",Doubt
2397,"Likewise, when he claims that the Qur’an has “not a thing” to say about Sharia, he appears unaware that the Qur’an is one of the sources of Sharia",Doubt
2398,Again and again it turns out that Wills has ignored key passages in order to make his case,Doubt
2399,"That would be good to know, were Wills a reliable witness. Unfortunately, he proves to be just the opposite",Doubt
2400,"Wills, not surprisingly, does not offer any quotation from me to back up his false claim",Doubt
2401,He ignores the fact that some Islamic authorities see this passage as calling for nothing less than unlimited warfare against non-Muslims,Doubt
2402,Wills has omitted all mention of the primary Qur’anic passage on this topic,Doubt
2403,"Wills’ naïve, inaccurate, misleadingly sunny view of the Qur’an",Doubt
2404,"Wills never mentions Qur’an 9:29, which commands Muslims to wage war against Jews and Christians and subjugate them as inferiors under the rule of Sharia",Doubt
2405,Wills doesn’t give any source for it,Doubt
2406,"if the Islamic holy book is really as peaceful and benign as Garry Wills makes it out to be, why do so very many Muslims worldwide misunderstand it",Doubt
2407,nonsensical,Loaded_Language
2409,"""American""",Jingoism
2410,couldn't tell you any of these devices or items if they saw them,Doubt
2412,carnage of gun violence,Loaded_Language
2413,public health crisis,Loaded_Language
2415,anti-American,Jingoism
2417,stupid,Loaded_Language
2418,our,Jingoism
2420,our,Jingoism
2421,Where is Berg's blog post on that?,Doubt
2422,Where is the AMA statement against the pharmaceutical companies and big government?,Doubt
2423,thoughtless,Loaded_Language
2424,particularly stupid,Loaded_Language
2426,forever,Hyperbole
2427,human shields,Loaded_Language
2433,remarkable ignorance of history,Loaded_Language
2434,useless,Loaded_Language
2435,Sure,Loaded_Language
2436,degradation,Loaded_Language
2437,vilify and humiliate,Loaded_Language
2438,humiliate,Loaded_Language
2439,The non-Muslims are nothing but dirt,Loaded_Language
2440,stance of denial and appeasement,Loaded_Language
2441,to exterminate the infidels,Loaded_Language
2442,exalted,Loaded_Language
2454,a battle between us and the entire religion,Hyperbole
2455,innumerable examples,Hyperbole
2456,the highest dignity,Hyperbole
2457,nothing but dirt,Hyperbole
2458,most treacherous in regard to all they do,Hyperbole
2459,everything they could,Hyperbole
2460,a “battle between us and the entire religion,Hyperbole
2461,with the entire Islamic world,Hyperbole
2462,a “battle” with the “entire religion,Hyperbole
2463,entire religion to be at war with the entire non-Muslim world,Hyperbole
2464,whose whole endeavor in this nether life is useless,Hyperbole
2465,at war with the entire religion,Hyperbole
2472,but British establishment politicians have done everything they could to sabotage that vote since then,Doubt
2473,No sane person is saying that the West should go to war with the entire Islamic world,Doubt
2474,"Another problem with Farage’s statement is that it manifests a remarkable ignorance of history. While he is deeply concerned that British people not begin to think that resisting jihad terror means that they are in a “battle” with the “entire religion” of Islam, he appears unaware of the fact that many Muslims throughout history have considered their entire religion to be at war with the entire non-Muslim world",Doubt
2475,Nigel Farage has become just another mainstream hack politician,Doubt
2477,gross injustice,Loaded_Language
2478,"a tsunami of lies and smear engulf him, endlessly, vindictively, perfidiously",Loaded_Language
2480,obliterate totally,Loaded_Language
2481,murdered publicly and gruesomely,Loaded_Language
2482,to crush starving and stricken people in a genocidal assault,Loaded_Language
2485,a vicious re-tweet,Loaded_Language
2488,bogus and farcical,Loaded_Language
2489,Screw the terrorist. He’ll be eating cat food forever,Loaded_Language
2491,outrageous behaviour,Loaded_Language
2492,Like a spurned lover,Loaded_Language
2493,a media witch-hunt,Loaded_Language
2494,The witch-hunt,Loaded_Language
2496,Assange is in mortal danger,Hyperbole
2497,gross miscarriage of justice and the extreme danger that await him,Hyperbole
2499,"a tsunami of lies and smear engulf him, endlessly",Hyperbole
2500,smear,Loaded_Language
2501,a unrelenting assault,Loaded_Language
2502,they planned a war on a single human being and on the very principle of freedom of speech,Hyperbole
2503,personal smear,Loaded_Language
2505,over whom she fawned,Loaded_Language
2508,"Like the invasion of Iraq, it was based on lies",Doubt
2509,whooping and cheering,Loaded_Language
2511,"Thanks largely to her, Libya became a breeding ground for ISIS and other jihadists. Thanks largely to her, tens of thousands of refugees fled in peril across the Mediterranean, and many drowned",Doubt
2512,the biggest arms sale ever,Hyperbole
2514,Clinton defamed Assange,Loaded_Language
2515,an Australian citizen,Jingoism
2516,She offered no evidence — nor was asked for any — to back her grave allegations,Doubt
2517,grave allegations,Loaded_Language
2518,shocking interview,Loaded_Language
2519,We all know it,Hyperbole
2521,conducted a vendetta,Loaded_Language
2522,"personal, petty, inhuman and craven attacks",Loaded_Language
2523,one of the greatest journalistic scoops of the last 30 years,Hyperbole
2524,struggled to survive,Loaded_Language
2525,not a penny going to WikiLeaks,Hyperbole
2526,gratuitously abused,Loaded_Language
2527,gloated on his blog,Loaded_Language
2528,trying to clamp down,Loaded_Language
2529,audaciously revealed,Loaded_Language
2530,"with their attendant rape, murder and destruction",Loaded_Language
2532,extreme danger,Hyperbole
2535,No investigative journalism in my lifetime can equal the importance of what WikiLeaks has done in calling rapacious power to account,Hyperbole
2536,a one-way moral screen has been pushed back to expose the imperialism of liberal democracies,Loaded_Language
2537,division and degradation of “unworthy” lives,Loaded_Language
2538,endless warfare,Hyperbole
2539,a vast tapestry of lies up on which we feed,Loaded_Language
2540,"systematic brutality, the widespread atrocities, the ruthless suppression of independent thought",Loaded_Language
2541,fraudulent wars,Loaded_Language
2542,bald-faced lies of governments,Loaded_Language
2543,remarkable Australian citizen,Jingoism
2546,"until she was told she could not do this: that Assange had committed no crime: that WikiLeaks was a publisher, whose work was protected under Article 19 of the Universal Declaration of Human Rights, to which Australia was one of the original signatories",Doubt
2547,defend the life of an Australian citizen,Jingoism
2548,is recognised by countless people across the world,Hyperbole
2549,gross miscarriage of justice,Loaded_Language
2550,bitch,Loaded_Language
2551,"warmongering, sycophantic, embarrassing speech",Loaded_Language
2552,hypocrisy,Loaded_Language
2554,America’s,Jingoism
2555,unconstitutional and unlawful laws,Loaded_Language
2556,aggressively,Loaded_Language
2560,nothing could be further from the truth,Hyperbole
2564,And just what kind of policies are we talking about?,Doubt
2567,our,Jingoism
2568,our,Jingoism
2569,our,Jingoism
2570,extremely careless,Loaded_Language
2571,Jim Comey and Jim Comey alone,Loaded_Language
2573,devastating,Loaded_Language
2574,gross negligence,Loaded_Language
2575,deep state plot,Loaded_Language
2577,the victim of a scurrilous slander campaign,Loaded_Language
2578,"the systematic brutality, the widespread atrocities, the ruthless suppression of independent thought",Loaded_Language
2579,ossified bureaucracies incapable of acting quickly and decisively,Doubt
2582,Small wonder,Loaded_Language
2584,generated worldwide condemnation,Hyperbole
2586,unseemly sycophancy,Loaded_Language
